Time Stamp	EMG CH1	EMG CH2
CAL	CAL	CAL
milliseconds	millivolts *	millivolts *
70331.60400390625	-17.91539723659324	1.336029132528599
70333.55712890625	-17.91554147985079	1.342303714232093
70335.51025390625	-17.91503662844936	1.336942673159759
70337.46337890625	-17.9140269256465	1.348890822993615
70339.41650390625	-17.91419520944697	1.351703566515871
70341.36962890625	-17.91318550664411	1.35165548543002
70343.32275390625	-17.91568572310834	1.355886620984867
70345.27587890625	-17.91705603405508	1.35206417465975
70347.22900390625	-17.91722431785556	1.35252094497533
70349.18212890625	-17.91866675043107	1.354011458636696
70351.13525390625	-17.92034958843584	1.32977859136803
70353.08837890625	-17.92056595332217	1.330091118426059
70355.04150390625	-17.92263344001374	1.334634781038934
70356.99462890625	-17.92184010209721	1.362281405402987
70358.94775390625	-17.92232091295571	1.365887486841777
70360.90087890625	-17.92111888580945	1.370647514340979
70362.85400390625	-17.92268152109959	1.362738175718567
70364.80712890625	-17.92443648073314	1.329393942681226
70366.76025390625	-17.92508557539212	1.326100388300465
70368.71337890625	-17.92640780525301	1.316003360271854
70370.66650390625	-17.92614335928083	1.326028266671689
70372.61962890625	-17.92852337303043	1.325066644954679
70374.57275390625	-17.92691265665444	1.339611173424463
70376.52587890625	-17.92467688616239	1.360887053913322
70378.47900390625	-17.92422011584681	1.371753379315541
70380.43212890625	-17.92547022407892	1.369181041222538
70382.38525390625	-17.92525385919259	1.361175540428425
70384.33837890625	-17.92566254842232	1.353001755833835
70386.29150390625	-17.92739346751294	1.361752513458631
70388.24462890625	-17.92912438660356	1.366897189644638
70390.19775390625	-17.93061490026493	1.350910228599337
70392.15087890625	-17.93097550840881	1.330764253627966
70394.10400390625	-17.92931671094696	1.333480834978521
70396.05712890625	-17.92780215674267	1.326436955901419
70398.01025390625	-17.92898014334601	1.326893726216999
70399.96337890625	-17.925446183536	1.331749915887902
70401.91650390625	-17.92383546716	1.327566861418906
70403.86962890625	-17.92443648073314	1.325908063957063
70405.82275390625	-17.92739346751294	1.330379604941162
70407.77587890625	-17.92919650823234	1.336630146101731
70409.72900390625	-17.93080722460833	1.348241728334633
