CH1	CH2	
%	%	
7.888148928789457e-09	1.431448415675908e-09
0.0002171847225433572	0.001424240083085476
0.001869835330524431	0.01240854219124516
0.00789076188415677	0.05336574826602559
0.02209854002611236	0.1526989000236207
0.04676271996683999	0.3294115985928988
0.08029158755536471	0.5736775769921049
0.1166992794765467	0.8406364718112784
0.1474343836299167	1.064477673188851
0.1652686089722962	1.190998633472226
0.1694730415124585	1.218963630929814
0.1701006352324294	1.223481630280866
0.1832642866426955	1.302867620777776
0.2123537387480839	1.45657413878856
0.2433956447457878	1.590443035291031
0.2625295323787866	1.641596205726812
0.2675111477123275	1.641858053379359
0.2675940002497608	1.682008659452988
0.2733039242409057	1.799021597449951
0.284149973336247	1.925374503467013
0.2914450270782511	1.983808399731587
0.2921894805608212	1.985049233985429
0.2947247863093776	2.027019798779259
0.3087237734344139	2.182682612854239
0.3309518148211794	2.402323845560035
0.3486273097411425	2.582735273991103
0.3546797354307687	2.675339438835873
0.3546807513682115	2.701854781779649
0.3600092380057184	2.704760801423656
0.3738035801115047	2.704920777898988
0.387345640082811	2.706745388511263
0.39246412480462	2.720931803176223
0.392467171183205	2.761842515283295
0.3986562752676556	2.825467810540973
0.4157713982192088	2.882617276377749
0.4354446130340563	2.904722240723403
0.4470160515037508	2.904906221580287
0.4491847493970995	2.951928719732096
0.4496576730922881	3.113239151860246
0.4550450734335571	3.366068799835914
0.4631446166558356	3.605473559216
0.4676828437718365	3.743128634297604
0.4679326288968839	3.776160746320637
0.4699186078415422	3.777014203339902
0.4779820100894885	3.817468205052208
0.4883331686392515	3.896654696344879
0.4941356014970285	3.959999985493602
0.4946414161201728	3.977641041630311
0.4963224274402002	3.978414712324227
0.5048446159299094	4.007268657432562
0.5177699895038441	4.06427778728276
0.5275737551005464	4.107928717181126
0.5305674767503828	4.116604497880489
0.5305806752964776	4.12079063055628
0.5336658434345251	4.162520882391417
0.5404310604433601	4.236185789840899
0.5459557726127743	4.294573725380264
0.5471727651376022	4.31077176929928
0.5476583408037915	4.311708732544003
0.07898306449396239	0.5137577965892138
0.1353344545274518	0.9004640616909412
0.170438823165576	1.12574936535327
0.1814140165778352	1.173327776979619
0.1814171595472037	1.187764949635797
0.1899780679239353	1.374711391757743
0.209419695558888	1.705153153518942
0.2248098092681398	1.983483087329799
0.2282196899317896	2.099312158141452
0.2294703992795331	2.102987021305291
0.2447529221300327	2.162911564238746
0.2734652265023259	2.385429289161561
0.2988466660129288	2.678214310211417
0.3094391862888651	2.884864951335114
0.3097744115881175	2.951669049195095
0.3145730432732807	2.951924166226821
0.3311521423235406	2.989111910766446
0.3506536094301428	3.074824564162645
0.3612723972834069	3.140566318253802
0.362440197371135	3.154014575704921
0.3643859257255791	3.157142353895205
0.3752099846734472	3.187160018173536
0.3904987807903143	3.21835619247031
0.4001678280645173	3.222297675503512
0.4017480703242824	3.236693630840202
0.4026582126928578	3.3227137345543
0.409853253200908	3.469945259446755
0.4205521068379685	3.600603006874339
0.4270966481258301	3.661054188517866
0.4278266713448247	3.668334258686264
0.4293418243002838	3.671935722538558
0.4379793167933697	3.690574197454043
0.4511501130215012	3.704885407109455
0.4606045785972741	3.705446964134719
0.4628615721065402	3.716774934640782
0.4631573753827829	3.761959840261482
0.4686566709148396	3.822242346586842
0.479195850442068	3.8564531780606
0.4879347797495882	3.858448645561217
0.4906187511426922	3.876135332631846
0.4906605130110657	3.959436602247846
0.4942234940789463	4.095120877099466
0.5019198952064392	4.215955189619872
0.5084236502416489	4.271380320999818
0.5102019450800158	4.275693490065527
0.5103704275702204	4.287840073220431
0.5144484235178538	4.343289042251475
0.5226528634226343	4.416873427632511
0.529532001512463	4.462354042953248
0.5314618621354804	4.470015967137521
0.5316270724540225	4.473976489655128
0.5361700535365153	4.510475888784208
0.5460319474824898	4.577937331832539
0.5552547337299543	4.642327653303713
0.5586042989390472	4.675358971456721
0.5586132146236538	4.680373797315903
0.562960205449308	4.682055919563032
0.5746566067390586	4.695410749836429
0.5877605225958867	4.711810148261127
0.5947935750556315	4.717602469346498
0.5955789573420945	4.718019746483606
0.5966813677015553	4.733701358275642
0.6027160996824735	4.771721062540316
0.6107419489671563	4.809291534796252
0.615114778877268	4.821235587255673
0.6154167360488153	4.822696695553447
0.6168661964708685	4.861727653266701
0.6231284778894054	4.954166573767786
0.6312822809159918	5.049726076882683
0.6358850974285301	5.090520575585169
0.6362893275753478	5.090605825980328
0.6375963238189839	5.136341903257445
0.6441654121925483	5.293611214558469
0.6539330169685473	5.524647716123214
0.6609801160984222	5.725197482663761
0.6627468186163799	5.827513369278243
0.6629076400374039	5.847854753495146
0.6666631659895776	5.848652063527926
0.6741408671232965	5.868868433633541
0.6805116262165632	5.898214310543905
0.6825248117927135	5.912564348435136
0.6825484554030159	5.912948415402507
0.685117829095358	5.919649914769325
0.6908212450781251	5.938583649332849
0.6958339400276508	5.952666833659732
0.6973895859436012	5.953375712923985
0.697426158692249	5.964571189792423
0.6997445137604428	6.015687048717417
0.7047528187298697	6.095942411495333
0.7090608796338216	6.158934600517623
0.7102820528278639	6.177795392578855
0.7103864483254422	6.178180355584482
0.7132524617852001	6.205385762304697
0.7194509242395893	6.266347487826905
0.7251830747037568	6.323526398097122
0.727161908123134	6.345921872100798
0.7271857264847826	6.346104665716271
0.7302480311895101	6.360925177421688
0.7381084626392527	6.405902463857695
0.7467384666422135	6.45960994733738
0.7512566868359015	6.492254974818964
0.7517150394119493	6.49896864929268
0.7524901978666237	6.499685967918079
0.7563813695858038	6.51072550472886
