Subject:	Ana Markota2	movavg_coeff: 	0.286504525408564	
Date	30-Aug-2021	rms_coeff:	0.490234097104918
CH1	CH2	
mV	mV	
-2.538378539088268e-10	6.558354238251257e-11
-7.680105677293182e-06	-3.404727754014199e-05
-5.647120047452196e-05	-0.0002353651000853512
-0.0001893409195105235	-0.0006961781625715016
-0.0003699912775089058	-0.000958928149451647
-0.0003969588921315723	0.0004043474488722383
5.754828134939535e-05	0.005422530634463445
0.001272251178089739	0.01551555516442582
0.003276805988474561	0.03020704995664312
0.005748040914116875	0.04658084017961182
0.008040096702959047	0.05976321718220591
0.00933402156782708	0.06435280815322419
0.008906137035307153	0.0564493899175288
0.006459248922917793	0.03553052536630506
0.002352358008026077	0.005328830562777007
-0.002420063789526633	-0.02680968318630723
-0.006529900359631383	-0.05207738478098441
-0.008789643259242502	-0.06321428901660038
-0.008595758877923979	-0.05724891354650442
-0.006167638358335828	-0.03685633032819848
-0.002493310053803899	-0.009696775298933509
0.001020963183500565	0.0141452210897554
0.003062962796910673	0.02575710372519759
0.002871833971785693	0.02069447493468659
0.0005051470362794743	0.0006928108176198072
-0.003153787206377107	-0.02688471444003667
-0.006700055127770638	-0.05174376289582953
-0.00874335324789924	-0.06453661293078751
-0.008451606075142285	-0.06032192698853991
-0.005862676195120375	-0.04024303873306882
-0.001851314591300607	-0.0110121607300673
0.00219177764159253	0.01744359072714841
0.004838676427798235	0.03539529485864864
0.005126712708449227	0.03668710155365031
0.002929123902182083	0.02093608128868812
-0.0009663119080996704	-0.006222611774793477
-0.005133061832891051	-0.03501504920984996
-0.008031941164689426	-0.05497392003557695
-0.008578841122383848	-0.05874567791729329
-0.006543616913981491	-0.04482305761753718
-0.002635729746286332	-0.0181263943256637
0.001753754277220408	0.01180890595567262
0.005054138351174397	0.03433315025540438
0.006078060775388842	0.04155991810269322
0.004457677733862841	0.0312477796975361
0.000801219219613767	0.007660970090448995
-0.003514217577691704	-0.02002622591213316
-0.006843810906798849	-0.0412781024171068
-0.00786115406543908	-0.04815703573658332
-0.006039755672295501	-0.03805467591390391
-0.001881359351133869	-0.01445164318880524
0.003247770090593063	0.01432825999845687
0.007631658937990879	0.03802050505670154
0.009817433906270524	0.04807820480399479
0.009106177980572712	0.04078774130260261
0.005809468290389972	0.01870793846966084
0.001161410904774642	-0.01012718687398923
-0.00313261320866561	-0.03507091950798417
-0.005526359429643556	-0.04682062434636314
-0.005194178623186247	-0.04092575131543236
-0.002334922486832603	-0.01943492779964745
0.001905145831887144	0.009914188837694191
0.005883485564651505	0.03658784170118194
0.008091655089697378	0.05113169259268363
0.007693157871686766	0.04861526867754994
0.004802645998092795	0.03042471426198976
0.0004438970134385032	0.003721076764954624
-0.003824733571985268	-0.02132534061310635
-0.006485742331796751	-0.03535725597231783
-0.00659554676658774	-0.03308022156608231
-0.004096684735131	-0.01495606930539107
0.0001665078613333522	0.0129560361186751
0.004730624471545118	0.0410164688819054
0.008006521889150943	0.05936003694486005
0.008832842730027374	0.06144730666514908
0.006917162994125852	0.04651712817834463
0.002982258277175396	0.01998847404849871
-0.001493436229680383	-0.008448733287035982
-0.00484663602438	-0.02840768783110926
-0.005854628037344901	-0.03267658138344023
-0.004184893506740899	-0.01989431541508503
-0.0005169953130621034	0.004968117503417351
0.003722629438401108	0.03247020296885542
0.006906147898720838	0.05220022520548911
0.007807478558132076	0.05662792685960624
0.006048018114252302	0.04391872408823799
0.002244651920829351	0.0186655000203959
-0.002202041096122417	-0.009820037535327158
-0.00564615275957821	-0.03108552419810172
-0.006850478831873326	-0.03748907601505608
-0.005435987772879616	-0.02687922888485996
-0.001958616084682629	-0.003199797819328339
0.002322529193413468	0.02495516555066173
0.0058626972562097	0.04733981884350231
0.007340085768649232	0.05563899466142128
0.006128144431916194	0.04643427704461586
0.002555696016915449	0.02252947244815516
-0.00217909456374438	-0.007937513757613073
-0.006428532873170693	-0.03438767732399257
-0.008687281117852294	-0.04764108235747062
-0.008140605454873469	-0.04328159404632068
-0.004976101880476389	-0.02331267761355495
-0.0003324863313885804	0.00455890365508957
0.004106538731950861	0.02978230496693421
0.006723031572188417	0.04287659092899816
0.006554994921432881	0.03894279808018256
0.003651939400934705	0.01948893791530147
-0.0009402610267854413	-0.00818209133688237
-0.005579881569623271	-0.03385357757449702
-0.008649192824681688	-0.0482728459645772
-0.009124940495119126	-0.04641568264013542
-0.00690126448914009	-0.02913153746251939
-0.002785690096973248	-0.002777519664420467
0.00178921089732617	0.0230307308890438
0.005229103477479518	0.03880263629509752
0.006326232911755597	0.03855174353866681
0.004730397796282934	0.02200060760820558
0.001099316498680003	-0.005217050634461081
-0.003159940125415337	-0.03350916127756298
-0.006424661060905876	-0.05279555213014071
-0.007454192760474442	-0.05624142380173169
-0.005847031606325148	-0.04283019292028128
-0.002193004638597595	-0.01775336919618905
0.002143927656196973	0.009535576920691289
0.005534924914868726	0.0288211893481809
0.006703813169440962	0.03288437548454565
0.005229969114740976	0.02019960716715036
0.001717928955212494	-0.004498959056171593
-0.002469502352446884	-0.03212040132601789
-0.0057662267998031	-0.05268335038587837
-0.006960907837948303	-0.05881498765156568
-0.005591583985246087	-0.04819343733139116
-0.002114486823398607	-0.0243384085351833
0.002234293351926705	0.004537874290733614
0.00588164729686041	0.02836338596029417
0.007491625087045125	0.03879728268453266
0.006453579300072333	0.03226290573261743
0.003122472705513519	0.01130561331734393
-0.001292282788285424	-0.01623310048591645
-0.005163054080089075	-0.04002944026069638
-0.007029824971211594	-0.05111737866031831
-0.006141161174247618	-0.04526050114626529
-0.002762424123797559	-0.02452720326305554
0.001911993816355363	0.003497171869513027
0.00621366866943859	0.02854507659339873
0.008613143165727795	0.04150564252171212
0.008274602873244967	0.03784349567575818
0.005362306374807704	0.019276501646673
0.0009648081891789597	-0.006983592725165687
-0.003323415952888358	-0.0310175912332577
-0.005979455488851496	-0.04377050810899692
-0.00608954959296898	-0.0402068880967869
-0.003654713660421716	-0.02110641970679288
0.0004505388831980959	0.007158008275282222
0.004799106960187083	0.03482801423156327
0.007868233984736054	0.05220177113219264
0.008541322353492855	0.05313509537413069
0.006528938500716145	0.03733440734522021
0.002512384429075763	0.01056129121107952
-0.002082890744923159	-0.01739343485671242
-0.005600209940135353	-0.03629628647154814
-0.006770570518683213	-0.03928964616126762
-0.005203807714741999	-0.02545007238016552
-0.00153860706725787	-9.934667451829505e-05
0.002813311859887843	0.02721158864667763
0.006205952743744282	0.0462646572253765
0.007367702230813711	0.0499804250327291
0.005867425191153866	0.03708095263179138
0.002262827766925639	0.01254640287553478
-0.00212803209962219	-0.01439391532708278
-0.005725247065465987	-0.03379712758990576
-0.0072547887000085	-0.03851531183772218
-0.006195626017654181	-0.0265797854579314
-0.00296620347152983	-0.001898867790978809
0.001223531586040802	0.02701487430027229
0.004812666164851465	0.04999490092886589
0.006459322668005495	0.05883924885493921
0.005533751050625798	0.05027846497354079
0.002360566910957955	0.02722825557792436
-0.001891894399679905	-0.002152990353628483
