Time Stamp	EMG CH1	EMG CH2
CAL	CAL	CAL
milliseconds	millivolts *	millivolts *
258645.99609375	-17.90650223571089	0.9950621122195855
258647.94921875	-17.89816016731582	1.031964345609865
258649.90234375	-17.8960445995384	1.044417346845152
258651.85546875	-17.89436176153363	1.038839940886491
258653.80859375	-17.90054018106542	1.009847046118623
258655.76171875	-17.90873800620294	0.9749882588769904
258657.71484375	-17.9124162092705	0.9587608924024374
258659.66796875	-17.91818593957257	0.9317152816115158
258661.62109375	-17.92046979115047	0.9267148486830611
258663.57421875	-17.91703199351215	0.9493369995757341
258665.52734375	-17.90969962791995	0.9872970168547254
258667.48046875	-17.90344908675938	1.025377236848343
258669.43359375	-17.89630904551058	1.047951306655165
258671.38671875	-17.89340013981662	1.055331753333221
258673.33984375	-17.89753511319977	1.037926400255331
258675.29296875	-17.90532424910755	1.002490639983492
258677.24609375	-17.91491642573473	0.9668865959111765
258679.19921875	-17.92044575060754	0.9412593771528456
258681.15234375	-17.92371526444538	0.9366435929111949
258683.10546875	-17.91958029106223	0.9601312033491775
258685.05859375	-17.91092569560914	0.9997740586329371
258687.01171875	-17.90354524893108	1.037806197540704
258688.96484375	-17.89436176153363	1.061462091779164
258690.91796875	-17.8962369238818	1.064515240730672
258692.87109375	-17.89816016731582	1.045859779420667
258694.82421875	-17.90496364096367	1.013885857330067
258696.77734375	-17.90825719534443	0.9956390852497918
258698.73046875	-17.91744068274188	0.9623669738412269
258700.68359375	-17.9207823182085	0.9468127425685814
258702.63671875	-17.92203242644061	0.9583762437156332
258704.58984375	-17.91607037179514	0.987441260112277
258706.54296875	-17.90645415462504	1.026723507252158
258708.49609375	-17.89948239717671	1.059971578117797
258710.44921875	-17.89460216696288	1.074275701158329
258712.40234375	-17.89683793745493	1.067279903167077
258714.35546875	-17.90123735681026	1.039296711202071
258716.30859375	-17.90914669543267	1.003788829301456
258718.26171875	-17.91847442608767	0.9721755153547346
258720.21484375	-17.9210708047236	0.954986527163171
258722.16796875	-17.92027746680706	0.9643382983610986
258724.12109375	-17.9143154121616	0.9997740586329371
258726.07421875	-17.90724749254157	1.036532048765665
