Time Stamp	EMG CH1	EMG CH2
CAL	CAL	CAL
milliseconds	millivolts *	millivolts *
303145.4772949219	-17.90445878956224	-2.073833394904939
303147.4304199219	-17.90116523518148	-2.078401098060739
303149.3835449219	-17.89789572134364	-2.079747368464554
303151.3366699219	-17.8938569101322	-2.082199503842931
303153.2897949219	-17.8941453966473	-2.081959098413678
303155.2429199219	-17.89277508570056	-2.080973436153742
303157.1960449219	-17.89465024804873	-2.079074233262646
303159.1491699219	-17.89592439682377	-2.080228179323059
303161.1022949219	-17.89496277510676	-2.079627165749927
303163.0554199219	-17.89640520768228	-2.07667017897012
303165.0085449219	-17.89501085619261	-2.075636435624334
303166.9616699219	-17.8936645857888	-2.074482489563921
303168.9147949219	-17.89231831538498	-2.077247152000326
303170.8679199219	-17.88914496371885	-2.081574449726874
303172.8210449219	-17.88969789620613	-2.080083936065507
303174.7741699219	-17.88892859883252	-2.079987773893806
303176.7272949219	-17.89116436932457	-2.077631800687131
303178.6804199219	-17.89145285583967	-2.080588787466938
303180.6335449219	-17.89320781547322	-2.080204138780134
303182.5866699219	-17.89397711284683	-2.082656274158511
303184.5397949219	-17.8938569101322	-2.081526368641023
303186.4929199219	-17.89239043701376	-2.081911017327827
303188.4460449219	-17.89327993710199	-2.081718692984425
303190.3991699219	-17.8911884098675	-2.079963733350881
303192.3522949219	-17.88952961240565	-2.082512030900959
303194.3054199219	-17.88854395014572	-2.081718692984425
303196.2585449219	-17.89171730181185	-2.077848165573458
303198.2116699219	-17.89142881529675	-2.079795449550404
303200.1647949219	-17.89599651845255	-2.085541139309542
303202.1179199219	-17.89681389691201	-2.079026152176796
303204.0710449219	-17.89686197799786	-2.085709423110019
303206.0241699219	-17.89539550487942	-2.086695085369955
303207.9772949219	-17.89484257239214	-2.087560544915264
303209.9304199219	-17.89491469402091	-2.084050625648176
303211.8835449219	-17.8911884098675	-2.085324774423215
303213.8366699219	-17.89222215321328	-2.084916085193485
303215.7897949219	-17.89474641022043	-2.085469017680766
303217.7429199219	-17.89695814016956	-2.086382558311926
303219.6960449219	-17.89883330251773	-2.083209206645792
303221.6491699219	-17.89820824840167	-2.083401530989194
