Subject:	Filip Babic	movavg_coeff: 0.296860745595117	
Date	30-Aug-2021	rms_coeff: 0.574920644157225	
CH1	CH2	
mV	mV	
-1.886917396672491e-10	-1.926836578797974e-11
-9.729699254835509e-07	-3.348417325876324e-05
-3.989417644523465e-06	-0.0002880245076785017
-4.804519969596915e-06	-0.001138936433593108
-6.509667609717536e-07	-0.002721430767827322
-1.178820727637907e-05	-0.004234093769426859
-7.771170556463339e-05	-0.003853231889271815
-0.0002185048315555486	0.0003649377762584114
-0.0004038136616537707	0.009206293973456041
-0.0005587042472349733	0.02149061111386756
-0.0006035388450312526	0.03425343388423119
-0.0004996712024100198	0.04386693619999759
-0.0002665274310397389	0.04745421232697174
3.014776755641455e-05	0.04386273267404533
0.000299915271271703	0.03382456829263659
0.0004659808865780103	0.01939022152542158
0.0005086704614071552	0.003121637057714286
0.0004635979286249959	-0.01246976332864872
0.0003819193959525231	-0.02515962458763033
0.0003096998893546107	-0.03315332395529189
0.000280984565129257	-0.03538935126063278
0.0002930623786994825	-0.03201153128678846
0.0002965890969118104	-0.02460516397644529
0.0002323700088737013	-0.01577943769452863
7.435550721808377e-05	-0.008266716826146223
-0.0001634984411727542	-0.004070773859176467
-0.000434537496572387	-0.003963113934293422
-0.0006569714802283813	-0.007410432974620605
-0.000735187223186596	-0.01293562528865502
-0.0006190395768399609	-0.01873000976154791
-0.0003458433617187791	-0.0232488072899876
-2.117680886972436e-05	-0.02561237831769692
0.0002457930718693388	-0.02571978528894207
0.0003985003458228404	-0.02406570291326022
0.0004342938948781601	-0.02138480822286049
0.0003742547848069128	-0.01832817077826284
0.0002521648981060076	-0.01532075254056942
0.0001139830494364732	-0.01257598586389098
5.85672609390684e-06	-0.01012134604663836
-3.580710933991892e-05	-0.007810514964526255
1.114932584276887e-05	-0.005435608358434836
0.0001426469790469787	-0.002925403980076499
0.0003202221689418772	-0.0004801932201611474
0.0004884373520020313	0.001446663094107694
0.0006001136896116464	0.002330544523831096
0.0006194873749152464	0.001870584915800797
0.0005190111753399257	0.0002508044735069319
0.0002918566014429988	-0.001813082301983191
-2.945158119917367e-05	-0.003310546622977313
-0.0003662509440792118	-0.003360902281683252
-0.0006130495004311132	-0.001643068763541895
-0.0006757685605090179	0.001393411829152466
-0.0005050034259244388	0.004688830696179429
-0.0001174518025942334	0.006982306892364455
0.0003952714400248066	0.007239966678169142
0.0008866164070459317	0.005016689786140396
0.001216383270927291	0.0006447261017519544
0.0013227924432505	-0.004864095446174485
0.001243290085962702	-0.01004254793854703
-0.03813097633877028	-0.002990073512487946
-0.2928425877286152	-0.02294201049507942
-1.087891725196636	-0.08512777312273008
-2.660070357745212	-0.2078536407105405
-4.904133324408723	-0.3825823026630622
-7.355296991733082	-0.572805857954078
-9.380319617620886	-0.7291277704194183
-10.42275580253995	-0.8084347052178541
-10.18859552172857	-0.7883836451954397
-8.716188878899342	-0.6727123356554978
-6.329560048310456	-0.4873063386762501
-3.512973088399272	-0.2701855295589958
-0.7609182489563542	-0.05970218124827909
1.546906270972725	0.1151617392680545
3.214576246880222	0.2399478747622014
4.235207828612066	0.3148380325629855
4.744950515108671	0.3509011068752045
4.949993160265475	0.3644865242537922
5.052948363701194	0.3717215688775065
5.198956587771706	0.3843949443716088
5.451507052113063	0.4078240409456902
5.797349032908821	0.440830966882519
6.171905673677007	0.4774901918542361
6.492914884199053	0.5099306821624379
6.690711025471083	0.5312966543923517
6.727371658013324	0.5379091722584775
6.602023997787247	0.5299149999445836
6.344186664545245	0.5104240876770141
5.999950360376523	0.4838500555264214
5.616670140829727	0.4543062018390353
5.230897612632332	0.4246237036628401
4.86220045749478	0.3961680706408675
4.513185295927068	0.3691139908988778
4.174220929060133	0.3427032517871244
3.830408490277657	0.3155127143259855
3.468276511312803	0.2859535182183808
