CH1	CH2	
mV	mV	
-7.410925636753554e-10	-2.153832789063385e-14
-6.912607739778342e-06	1.228776291037755e-05
-5.077851388179228e-05	9.36507308845262e-05
-0.0001795508784549247	0.0003470570525185033
-0.0004193871842274497	0.0008503764037503034
-0.0007488069645184891	0.001570193668626024
-0.001104870185641724	0.002333508095941694
-0.001391879755627054	0.002877153446580425
-0.001501632524798601	0.002965860932326148
-0.001359007746087293	0.002520972022617864
-0.0009619099335799556	0.001677163218219985
-0.0003867649789480961	0.0007290251878643781
0.0002408878654815713	-1.695589538982883e-05
0.00078858310305068	-0.000401040354966656
0.00114337551353159	-0.0004529221241536369
0.001226005260477475	-0.0003105679561849183
0.001018168576330406	-0.0001490860482926514
0.0005934870035394844	-0.0001510663537708494
0.0001111685463602414	-0.000441596080717917
-0.0002453804588560372	-0.001033886018131442
-0.0003455973986691911	-0.0018318486884393
-0.0001399880923145979	-0.002620733839835837
0.0003598309688015097	-0.003077342811601699
0.001090668070190998	-0.002907294566347297
0.001925777650722834	-0.002035546943644255
0.002675596242774816	-0.0006552591200981858
0.003122226765817466	0.0008942486975623632
0.003097546030125279	0.002275408705216642
0.002577176747630545	0.003219678468725351
0.001713975225076696	0.003557447061526436
0.0007748588092015619	0.003280509731789109
2.888045384977607e-05	0.002557198068550029
-0.000353922162286721	0.001637829673782387
-0.000359296543691398	0.0007551839421105503
-0.0001149012920341764	8.313711659612223e-05
0.0001833923253399764	-0.0002722219163042729
0.0003549739991388046	-0.0002505406981396476
0.0002954526354359043	0.0001859759494413669
5.399866655608785e-06	0.001026848349435394
-0.0004218146528065388	0.00216047660804082
-0.0008451408516813871	0.003363335292007894
-0.001130592790160208	0.004319521651143097
-0.001201996995503184	0.004613578949652533
-0.001072095901675884	0.003810375157172294
-0.000833460170618801	0.001726072418917276
-0.0006129174667271536	-0.001305939065026358
-0.0005099183479151585	-0.004455147994813406
-0.0005468246852828565	-0.006764759885787421
-0.0006668131957808701	-0.007635112160538623
-0.0007834594883191024	-0.007106887131229229
-0.0008353907967962199	-0.005879284695700754
-0.000801260689606135	-0.005105024623257043
-0.0006869293931160859	-0.005912897433380099
-0.000519335333035963	-0.008785089827288288
-0.0003496321236093328	-0.01321077691435918
-0.0002503265472907488	-0.01787875464617781
-0.0002973668094804257	-0.02124682202544614
-0.000530234229381329	-0.02214836888671403
-0.000905812909777152	-0.02015295248713562
-0.001302817737551383	-0.01558066031556361
-0.0015831893144794	-0.00928461093278667
-0.001642556743824949	-0.002368728488248924
-0.001437143479318733	0.004077810932414379
-0.001009346141380433	0.009205720964823524
-0.0004846473810433509	0.01252590117540595
-2.471886811404571e-05	0.0138919878003995
0.000237783672442205	0.01346024336731746
0.0002479666779627261	0.0116998067622507
3.117563903615185e-05	0.009349718692290917
-0.0003391095143308294	0.007227195865720812
-0.0007572621067183526	0.00594848099598116
-0.001075502573806823	0.005723912448666397
-0.00112796567261185	0.006337431762112869
-0.0008142423711411576	0.007294625274928021
-0.0001690956149731726	0.008035921782236515
0.0006420678097063166	0.008126930534281511
0.001378908140799293	0.007407976930360613
0.001801377391480776	0.006055567836301273
0.00175533654017226	0.004471871727451829
0.001238493979335042	0.003066291386749515
0.0004069954031035831	0.002108500350281287
-0.0004815239143369932	0.001694697162654319
-0.001160775778614599	0.001762414498642477
-0.001443986552516488	0.002159155760912582
-0.001276379276433948	0.002742234275492519
-0.0007415231722613632	0.003400413215805445
-2.322898489212633e-05	0.004008268207302406
0.0006625898679250083	0.004440565829803234
0.001140186948363458	0.004653719052930817
0.001313803422546039	0.004749676470912984
0.001168147644320947	0.004956151876091271
0.0007655265895682286	0.005485407367111785
0.0002435172509790256	0.00638607516565814
-0.0002231813517119061	0.007538035933017168
-0.0005007539100205109	0.008697191466578441
-0.0005572295800077676	0.009496018766956164
-0.0004472033952075882	0.009504312298539408
-0.0002469082772840318	0.008361313332175845
-2.235445453469734e-05	0.005884108834671699
0.0001598182022787597	0.002135475981956707
0.0002440422422740323	-0.002526464726213927
0.0002209945606037109	-0.007435102101820579
0.0001258017041629749	-0.01173051820974681
6.631950905734493e-06	-0.01463588684283336
-9.332687067193565e-05	-0.0157423005530383
-0.0001449880129672542	-0.01511494229584709
-0.000143443904034907	-0.01319399843627555
-0.0001081947262512186	-0.01060005257698268
-6.764073722693111e-05	-0.007945974239019372
-4.05221656037966e-05	-0.005700149657756777
-3.644421849923026e-05	-0.004121384888178305
-5.435448233017886e-05	-0.00325110669986642
-5.249993161801717e-05	-0.002937795000350462
5.281948970659391e-05	-0.00290882476968379
0.0003235542240340151	-0.002873899445287361
0.0007381428973718839	-0.00260253246908636
0.00118389407901619	-0.001975782142367034
0.001498461275032367	-0.001030183221725007
0.001551297280029406	4.537414051089779e-05
0.001323542459415784	0.0009946341094752807
0.000916795881927213	0.001622954332748327
0.0004968783150405033	0.001884668804108673
0.0002338643457863997	0.001873369767647362
0.0002474899445131878	0.001734692658689407
0.000553829513649585	0.001570415910845123
0.001052743876303863	0.001393174927066153
0.001570410242476306	0.001150074833887055
0.001921728693775072	0.0008005830703912037
0.001969091709704985	0.000375231463935821
0.001666200099731346	-4.697870176061881e-05
0.001068986124847745	-0.000387205541131317
0.0003192527270383974	-0.0005986400963149418
-0.0003868538021010373	-0.0006928276988379264
-0.0008592097307845174	-0.000722445655385904
-0.0009862892931897533	-0.0007313994675427082
-0.0007654149918342546	-0.0007422397158208517
-0.0002887928524142163	-0.0007671586324976199
0.0002738087173091232	-0.0007963748461383078
0.0007048027978	-0.0007777283401878234
0.0008227906763720263	-0.0006251588233948542
0.0005853591818911673	-0.0002644186674215738
0.0001069120358558391	0.0003067425147417086
-0.0004212916988677494	0.0009701588542150429
-0.0008156531235136738	0.001497685503175206
-0.0009474146290359402	0.001638891956253133
-0.0007795797621978394	0.00122222760986081
-0.0003867846130753389	0.000241953439096118
7.025982731147041e-05	-0.001081718407602792
0.0004072792198971541	-0.00235719477982849
0.0004934152571756912	-0.003192070555615564
0.0003095988304496377	-0.003348619835407586
-5.214322923952794e-05	-0.002809506261653882
-0.0004497823013660487	-0.001764728505642722
-0.0007653403587184521	-0.0005200497498845059
-0.0009344036646505297	0.0006432006848811134
-0.0009397162273893865	0.001565921905418596
-0.0008118609180265853	0.002215431781982552
-0.0006254658195360155	0.002630643517895142
-0.0004781548894899413	0.002868460901061464
-0.0004589124095043024	0.002967945492499112
-0.0006054527136022552	0.00292437266742473
-0.0008831010512554363	0.002692843753859986
-0.001204462211198251	0.0022327013663144
-0.001455406101030762	0.001557396076568146
-0.001522038965965741	0.0007450438880220151
-0.001342701740991337	-9.887057673318766e-05
-0.0009608465368820225	-0.0009010134503983865
-0.0005284679540935495	-0.001644490657355059
-0.0002432531337282332	-0.002313307950381606
-0.0002513876936904883	-0.002828222095829049
-0.000578009922796082	-0.003083141782146652
-0.001117910401398139	-0.003037680066815265
-0.001674479632931378	-0.002737194880121406
-0.002035980717811936	-0.002249916080354863
-0.002068560568577876	-0.001608160809727482
-0.001764880116271332	-0.0008163184334887522
-0.001212433403516087	9.009231257551128e-05
-0.0005380825930898671	0.001006043160833094
0.0001101000519325532	0.001780215309338925
0.000576411776351442	0.002272374712724566
0.0007511377986023682	0.002376118988815658
